date,permno,ticker,prc,cfacpr,ret,retx,raw_close,adjusted_close,raw_price_return,adjusted_price_return,factor_changed,return_difference
2021-04-08,29938,BF,66.32,1.0,0.013757,0.013757,66.32,66.32,0.013757260776520841,0.013757260776520841,False,0.0
2021-04-09,29938,BF,65.88,1.0,-0.006635,-0.006635,65.88,65.88,-0.006634499396863669,-0.006634499396863669,False,0.0
2021-04-12,29938,BF,67.21,1.0,0.020188,0.020188,67.21,67.21,0.020188221007893192,0.020188221007893192,False,0.0
2021-04-13,29938,BF,67.23,1.0,0.000298,0.000298,67.23,67.23,0.000297574765659947,0.000297574765659947,False,0.0
2021-04-14,29938,BF,67.49,1.0,0.003867,0.003867,67.49,67.49,0.003867321136397317,0.003867321136397317,False,0.0
2021-04-15,29938,BF,68.79,1.0,0.019262,0.019262,68.79,68.79,0.019262112905615858,0.019262112905615858,False,0.0
2021-04-16,29938,BF,69.27,1.0,0.006978,0.006978,69.27,69.27,0.006977758395115385,0.006977758395115385,False,0.0
2021-04-19,29938,BF,70.45,1.0,0.017035,0.017035,70.45,70.45,0.017034791395986737,0.017034791395986737,False,0.0
2021-04-20,29938,BF,71.59,1.0,0.016182,0.016182,71.59,71.59,0.016181689141234967,0.016181689141234967,False,0.0
2021-04-21,29938,BF,72.42,1.0,0.011594,0.011594,72.42,72.42,0.011593798016482637,0.011593798016482637,False,0.0
2021-04-22,29938,BF,72.9,1.0,0.006628,0.006628,72.9,72.9,0.006628003314001818,0.006628003314001818,False,0.0
2021-04-23,29938,BF,73.2,1.0,0.004115,0.004115,73.2,73.2,0.00411522633744843,0.00411522633744843,False,0.0
2021-04-26,29938,BF,71.88,1.0,-0.018033,-0.018033,71.88,71.88,-0.01803278688524601,-0.01803278688524601,False,0.0
2021-04-27,29938,BF,72.1,1.0,0.003061,0.003061,72.1,72.1,0.0030606566499722376,0.0030606566499722376,False,0.0
2021-04-28,29938,BF,72.13,1.0,0.000416,0.000416,72.13,72.13,0.0004160887656032841,0.0004160887656032841,False,0.0
2021-04-29,29938,BF,73.77,1.0,0.022737,0.022737,73.77,73.77,0.022736725356994336,0.022736725356994336,False,0.0
2021-04-30,29938,BF,71.35,1.0,-0.032805,-0.032805,71.35,71.35,-0.032804663142198764,-0.032804663142198764,False,0.0
2021-05-03,29938,BF,72.83,1.0,0.020743,0.020743,72.83,72.83,0.020742817098808652,0.020742817098808652,False,0.0
2021-05-04,29938,BF,71.66,1.0,-0.016065,-0.016065,71.66,71.66,-0.016064808458053026,-0.016064808458053026,False,0.0
2021-05-05,29938,BF,70.76,1.0,-0.012559,-0.012559,70.76,70.76,-0.01255930784258985,-0.01255930784258985,False,0.0
2021-05-06,29938,BF,71.79,1.0,0.014556,0.014556,71.79,71.79,0.014556246466930434,0.014556246466930434,False,0.0
2021-05-07,29938,BF,71.5,1.0,-0.00404,-0.00404,71.5,71.5,-0.0040395598272741085,-0.0040395598272741085,False,0.0
2021-05-10,29938,BF,72.26,1.0,0.010629,0.010629,72.26,72.26,0.010629370629370749,0.010629370629370749,False,0.0
2021-05-11,29938,BF,72.1,1.0,-0.002214,-0.002214,72.1,72.1,-0.002214226404650077,-0.002214226404650077,False,0.0
2021-05-12,29938,BF,70.93,1.0,-0.016227,-0.016227,70.93,70.93,-0.016227461858529635,-0.016227461858529635,False,0.0
2021-05-13,29938,BF,72.34,1.0,0.019879,0.019879,72.34,72.34,0.019878753700831808,0.019878753700831808,False,0.0
2021-05-14,29938,BF,72.84,1.0,0.006912,0.006912,72.84,72.84,0.006911805363561063,0.006911805363561063,False,0.0
2021-05-17,29938,BF,72.6,1.0,-0.003295,-0.003295,72.6,72.6,-0.0032948929159803964,-0.0032948929159803964,False,0.0
2021-05-18,29938,BF,72.36,1.0,-0.003306,-0.003306,72.36,72.36,-0.0033057851239668423,-0.0033057851239668423,False,0.0
2021-05-19,29938,BF,71.9,1.0,-0.006357,-0.006357,71.9,71.9,-0.006357103372028661,-0.006357103372028661,False,0.0
2021-05-20,29938,BF,73.84,1.0,0.026982,0.026982,73.84,73.84,0.026981919332406124,0.026981919332406124,False,0.0
2021-05-21,29938,BF,73.88,1.0,0.000542,0.000542,73.88,73.88,0.0005417118093173912,0.0005417118093173912,False,0.0
2021-05-24,29938,BF,73.81,1.0,-0.000947,-0.000947,73.81,73.81,-0.0009474824038980811,-0.0009474824038980811,False,0.0
2021-05-25,29938,BF,73.88,1.0,0.000948,0.000948,73.88,73.88,0.0009483809781871688,0.0009483809781871688,False,0.0
2021-05-26,29938,BF,74.21,1.0,0.004467,0.004467,74.21,74.21,0.004466702761234398,0.004466702761234398,False,0.0
2021-05-27,29938,BF,74.07,1.0,-0.001887,-0.001887,74.07,74.07,-0.001886538202398591,-0.001886538202398591,False,0.0
2021-05-28,29938,BF,75.0,1.0,0.012556,0.012556,75.0,75.0,0.012555690562981114,0.012555690562981114,False,0.0
2021-06-01,29938,BF,75.37,1.0,0.004933,0.004933,75.37,75.37,0.004933333333333456,0.004933333333333456,False,0.0
2021-06-02,29938,BF,75.85,1.0,0.006369,0.006369,75.85,75.85,0.006368581663791728,0.006368581663791728,False,0.0
2021-06-03,29938,BF,75.72,1.0,-0.001714,-0.001714,75.72,75.72,-0.0017139090309821192,-0.0017139090309821192,False,0.0
2021-06-04,29938,BF,75.65,1.0,-0.000924,-0.000924,75.65,75.65,-0.0009244585314315268,-0.0009244585314315268,False,0.0
2021-06-07,29938,BF,74.27,1.0,-0.015869,-0.018242,74.27,74.27,-0.018241903502974388,-0.018241903502974388,False,0.0
2021-06-08,29938,BF,74.16,1.0,-0.001481,-0.001481,74.16,74.16,-0.0014810825366904368,-0.0014810825366904368,False,0.0
2021-06-09,29938,BF,70.31,1.0,-0.051915,-0.051915,70.31,70.31,-0.0519147788565264,-0.0519147788565264,False,0.0
2021-06-10,29938,BF,70.47,1.0,0.002276,0.002276,70.47,70.47,0.0022756364670744045,0.0022756364670744045,False,0.0
2021-06-11,29938,BF,70.26,1.0,-0.00298,-0.00298,70.26,70.26,-0.0029799914857385756,-0.0029799914857385756,False,0.0
2021-06-14,29938,BF,70.9,1.0,0.009109,0.009109,70.9,70.9,0.0091090236265301,0.0091090236265301,False,0.0
2021-06-15,29938,BF,70.88,1.0,-0.000282,-0.000282,70.88,70.88,-0.00028208744710878086,-0.00028208744710878086,False,0.0
2021-06-16,29938,BF,70.85,1.0,-0.000423,-0.000423,70.85,70.85,-0.0004232505643341211,-0.0004232505643341211,False,0.0
2021-06-17,29938,BF,70.84,1.0,-0.000141,-0.000141,70.84,70.84,-0.00014114326040914893,-0.00014114326040914893,False,0.0
2021-06-18,29938,BF,69.23,1.0,-0.022727,-0.022727,69.23,69.23,-0.022727272727272707,-0.022727272727272707,False,0.0
2021-06-21,29938,BF,69.85,1.0,0.008956,0.008956,69.85,69.85,0.0089556550628338,0.0089556550628338,False,0.0
2021-06-22,29938,BF,68.99,1.0,-0.012312,-0.012312,68.99,68.99,-0.012312097351467433,-0.012312097351467433,False,0.0
2021-06-23,29938,BF,68.48,1.0,-0.007392,-0.007392,68.48,68.48,-0.007392375706623988,-0.007392375706623988,False,0.0
2021-06-24,29938,BF,69.58,1.0,0.016063,0.016063,69.58,69.58,0.016063084112149406,0.016063084112149406,False,0.0
2021-06-25,29938,BF,72.33,1.0,0.039523,0.039523,72.33,72.33,0.03952285139407885,0.03952285139407885,False,0.0
2021-06-28,29938,BF,71.86,1.0,-0.006498,-0.006498,71.86,71.86,-0.00649799529932249,-0.00649799529932249,False,0.0
2021-06-29,29938,BF,71.61,1.0,-0.003479,-0.003479,71.61,71.61,-0.003478986919009164,-0.003478986919009164,False,0.0
2021-06-30,29938,BF,70.5,1.0,-0.015501,-0.015501,70.5,70.5,-0.015500628403854244,-0.015500628403854244,False,0.0
2021-07-01,29938,BF,70.23,1.0,-0.00383,-0.00383,70.23,70.23,-0.003829787234042481,-0.003829787234042481,False,0.0
2021-07-02,29938,BF,70.51,1.0,0.003987,0.003987,70.51,70.51,0.003986900185106057,0.003986900185106057,False,0.0
2021-07-06,29938,BF,70.12,1.0,-0.005531,-0.005531,70.12,70.12,-0.005531130336122514,-0.005531130336122514,False,0.0
2021-07-07,29938,BF,70.14,1.0,0.000285,0.000285,70.14,70.14,0.0002852253280090089,0.0002852253280090089,False,0.0
2021-07-08,29938,BF,69.54,1.0,-0.008554,-0.008554,69.54,69.54,-0.008554319931565413,-0.008554319931565413,False,0.0
2021-07-09,29938,BF,70.0,1.0,0.006615,0.006615,70.0,70.0,0.006614897900488748,0.006614897900488748,False,0.0
2021-07-12,29938,BF,69.25,1.0,-0.010714,-0.010714,69.25,69.25,-0.010714285714285676,-0.010714285714285676,False,0.0
2021-07-13,29938,BF,68.54,1.0,-0.010253,-0.010253,68.54,68.54,-0.010252707581227316,-0.010252707581227316,False,0.0
2021-07-14,29938,BF,68.91,1.0,0.005398,0.005398,68.91,68.91,0.005398307557630488,0.005398307557630488,False,0.0
2021-07-15,29938,BF,68.49,1.0,-0.006095,-0.006095,68.49,68.49,-0.006094906399651712,-0.006094906399651712,False,0.0
2021-07-16,29938,BF,68.03,1.0,-0.006716,-0.006716,68.03,68.03,-0.00671630895021158,-0.00671630895021158,False,0.0
2021-07-19,29938,BF,67.43,1.0,-0.00882,-0.00882,67.43,67.43,-0.00881963839482569,-0.00881963839482569,False,0.0
2021-07-20,29938,BF,68.58,1.0,0.017055,0.017055,68.58,68.58,0.017054723416876527,0.017054723416876527,False,0.0
2021-07-21,29938,BF,68.81,1.0,0.003354,0.003354,68.81,68.81,0.003353747448235689,0.003353747448235689,False,0.0
