table_schema,table_name,column_name,data_type
form_metadata,bvd_bvdbankf_trial_bvdbankf_ish_guo_duo_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_trial_bvdbankf_stock_annual_extra1_bankinformation,CIK,character varying
form_metadata,bvd_bvdbankf_trial_bvdbankf_subsidiaries_extra1_bankinformation,CIK,character varying
form_metadata,bvd_osiris_os_fin_bnk_identificationcodes,cik,character varying
form_metadata,bvd_osiris_os_fin_ind_identificationcodes,cik,character varying
form_metadata,bvd_osiris_os_fin_ins_identificationcodes,cik,character varying
form_metadata,calcbench_ap_ar_accounts_payable_fn_variables,cik_code,character varying
form_metadata,calcbench_ap_ar_accounts_receivable_fn_variables,cik_code,character varying
form_metadata,calcbench_commitment_contingency_commitments_contingencies_fn_v,cik_code,character varying
form_metadata,calcbench_discontinued_ops_restructuring_discontinued_op_fn_var,cik_code,character varying
form_metadata,calcbench_equity_compensation_equity_based_compensation_fn_vari,cik_code,character varying
form_metadata,calcbench_equity_investments_equity_method_investments_fn_varia,cik_code,character varying
form_metadata,calcbench_equity_repurchases_equity_repurchases_fn_variables,cik_code,character varying
form_metadata,calcbench_fair_value_fair_value_bo_extra1_identifyinginformatio,cik_code,character varying
form_metadata,calcbench_goodwill_goodwill_intangible_assets_fn_variables,cik_code,character varying
form_metadata,calcbench_income_tax_tax_fn_variables,cik_code,character varying
form_metadata,calcbench_inventory_inventory_fn_variables,cik_code,character varying
form_metadata,calcbench_leases_capitalized_leases_fn_variables,cik_code,character varying
form_metadata,calcbench_leases_operating_leases_fn_variables,cik_code,character varying
form_metadata,calcbench_trial_breakout_extra1_identifyinginformation,cik_code,character varying
form_metadata,calcbench_trial_normalized_fn_variables,cik_code,character varying
form_metadata,comp_bank_daily_bank_funda_identifyinginformation,CIK,character varying
form_metadata,comp_bank_daily_bank_fundq_identifyinginformation,CIK,character varying
form_metadata,comp_filings_filings_identifyinginformation,CIK,character varying
form_metadata,comp_global_daily_g_secd_extra8_identifyinginformationcont,CIK,character varying
form_metadata,comp_global_daily_gfunda_extra8_identifyinginformationcont,CIK,character varying
form_metadata,comp_global_daily_gfundq_extra8_identifyinginformationcont,CIK,character varying
form_metadata,comp_na_annual_all_aco_indsta_extra8_identifyinginformationcont,CIK,character varying
form_metadata,comp_na_annual_all_aco_indstq_extra8_identifyinginformationcont,CIK,character varying
form_metadata,comp_na_annual_all_aco_pnfnda_extra8_identifyinginformationcont,CIK,character varying
form_metadata,comp_na_annual_all_aco_pnfndq_extra8_identifyinginformationcont,CIK,character varying
form_metadata,comp_na_annual_all_adsprate_extra8_identifyinginformationcont,CIK,character varying
form_metadata,comp_na_annual_all_cia_identifyinginformationcodes,CIK,character varying
form_metadata,comp_na_annual_all_ciq_identifyinginformationcodes,CIK,character varying
form_metadata,comp_na_annual_all_funda_identifyinginformation,CIK,character varying
form_metadata,comp_na_annual_all_fundq_identifyinginformation,CIK,character varying
form_metadata,comp_na_annual_all_idxcst_his_extra2_companyinformation,co_CIK,character varying
form_metadata,comp_na_annual_all_marginal_tax_extra1_identifyinginformation,CIK,character varying
form_metadata,comp_na_annual_all_sec_shortint_extra1_identifyinginformation,CIK,character varying
form_metadata,comp_na_annual_all_secm_identifyinginformation,CIK,character varying
form_metadata,comp_na_annual_all_wrds_segmerged_identifyinginformation,CIK,character varying
